1,Family Fitness,Bond through movement and make fitness fun for everyone!,"Bring the whole family together for a day of fun and fitness! Join us for exciting group exercises, interactive games, and health-focused challenges designed for all ages.",Bedok,17/11/24 8:00,17/11/24 8:00,HPB,Event,16/11/24 8:00,50,37,Physical,Tier 2 User,Null,50,Active Family Program,2,91234580,organiser@hpb.com
2,"Shop, Cook, Eat Healthy",Make every meal a healthy masterpiece,"Learn how to shop smarter, cook nutritious meals, and enjoy delicious, healthy eating. With expert demonstrations and tips, this event will transform your kitchen and your habits for a healthier tomorrow.",Ang Mo Kio,17/11/24 19:00,17/11/24 19:00,HPB,Event,16/11/24 8:00,10,8,Physical,Tier 3 User,Null,50,Wellness Program,3,91234581,organiser@hpb.com
3,Move It,"Step up, stretch out, and get moving for a healthier you!","Designed for all fitness levels, ""Move It"" combines engaging activities, music, and motivation to help you break a sweat, have fun, and reach your activity goals. Let's get moving together!",Simei,17/11/24 20:00,17/11/24 20:00,HPB,Event,16/11/24 8:00,30,3,Online,All Healthy 365 User,Null,50,Fitness Program,1,91234582,organiser@hpb.com
4,Mall Workouts,Fitness session on the go!,"Join us for guided fitness sessions in the heart of your favorite mall. From quick cardio to creative strength exercises, this event is perfect for fitting fitness into your busy lifestyle—no gym required!",Bedok,18/11/24 8:00,18/11/24 8:00,HPB,Event,16/11/24 8:00,20,7,Physical,Tier 2 User,Null,50,Fitness Program,2,91234583,organiser@hpb.com
5,Move It,"Step up, stretch out, and get moving for a healthier you!","Designed for all fitness levels, ""Move It"" combines engaging activities, music, and motivation to help you break a sweat, have fun, and reach your activity goals. Let's get moving together!",Ang Mo Kio,18/11/24 19:00,18/11/24 19:00,HPB,Event,16/11/24 8:00,25,23,Physical,Tier 3 User,Null,50,Fitness Program,3,91234584,organiser@hpb.com
6,Family Fitness,Bond through movement and make fitness fun for everyone!,"Bring the whole family together for a day of fun and fitness! Join us for exciting group exercises, interactive games, and health-focused challenges designed for all ages.",Simei,18/11/24 20:00,18/11/24 20:00,HPB,Event,16/11/24 8:00,10,1,Online,All Healthy 365 User,Null,50,Active Family Program,1,91234585,organiser@hpb.com
7,Mall Workouts,Fitness session on the go!,"Join us for guided fitness sessions in the heart of your favorite mall. From quick cardio to creative strength exercises, this event is perfect for fitting fitness into your busy lifestyle—no gym required!",Bedok,19/11/24 8:00,19/11/24 8:00,HPB,Event,16/11/24 8:00,20,19,Physical,Tier 1 User,Null,50,Fitness Program,1,91234586,organiser@hpb.com
8,Step Up Challenge,Increase your step count over the course of a week,"Step Up Challenge is a health event designed to motivate participants to increase their daily step count and improve physical fitness. Participants are encouraged to take more steps each day, with the goal of reaching a set target by the end of the challenge. The event promotes healthy habits through friendly competition, with users tracking their progress, competing against friends, and earning rewards for hitting milestones. Suitable for all fitness levels, the Step Up Challenge fosters an active lifestyle while offering fun and engaging ways to improve health and well-being.",Kallang,19/11/24 10:00,19/11/24 10:00,School,Event,16/11/24 8:00,200,152,Physical,All Healthy 365 User,DHS315,50,Fitness Program,1,91234587,organiser@hpb.com
9,Move It,"Step up, stretch out, and get moving for a healthier you!","Designed for all fitness levels, ""Move It"" combines engaging activities, music, and motivation to help you break a sweat, have fun, and reach your activity goals. Let's get moving together!",Ang Mo Kio,19/11/24 19:00,19/11/24 19:00,HPB,Event,16/11/24 8:00,30,30,Physical,Tier 2 User,Null,50,Fitness Program,2,91234588,organiser@hpb.com
10,Family Fitness,Bond through movement and make fitness fun for everyone!,"Bring the whole family together for a day of fun and fitness! Join us for exciting group exercises, interactive games, and health-focused challenges designed for all ages.",Simei,19/11/24 20:00,19/11/24 20:00,HPB,Event,16/11/24 8:00,10,5,Physical,Tier 3 User,Null,50,Active Family Program,3,91234589,organiser@hpb.com
